;movie_code;duration;facenumber_in_poster;country;budget;gross;num_voted_users;num_user_for_reviews;num_critic_for_reviews;movie_facebook_likes;director_facebook_likes;actor_1_facebook_likes;actor_2_facebook_likes;actor_3_facebook_likes;cast_total_facebook_likes;imdb_score;imdb_score_class
2145;2146;112.0;3.0;USA;21000000.0;6830957.0;11983;147.0;111.0;365;52.0;15000.0;1000.0;347.0;16692;6.7;Good
2364;2365;113.0;6.0;USA;13000000.0;51697449.0;8346;59.0;36.0;1000;0.0;607.0;269.0;256.0;1465;4.1;Fair
4490;4491;111.0;0.0;USA;1200000.0;9180275.0;22145;231.0;122.0;756;50.0;2000.0;710.0;612.0;4288;7.7;Good
2819;2820;101.0;0.0;USA;125000000.0;190871240.0;167089;491.0;348.0;62000;473.0;833.0;809.0;429.0;2690;5.9;Fair
339;340;172.0;1.0;USA;94000000.0;340478898.0;1100446;2417.0;294.0;10000;0.0;16000.0;5000.0;857.0;23052;8.7;Excellent
1593;1594;132.0;0.0;USA;30000000.0;116631310.0;87665;323.0;304.0;41000;304.0;15000.0;1000.0;898.0;20035;7.2;Good
4252;4253;129.0;0.0;USA;2000000.0;;215086;471.0;127.0;15000;89.0;3000.0;226.0;161.0;3833;8.4;Excellent
384;385;132.0;0.0;USA;100000000.0;58220776.0;87785;362.0;93.0;0;0.0;49000.0;1000.0;957.0;55254;6.8;Good
4934;4935;98.0;0.0;USA;;;53;1.0;2.0;197;0.0;52.0;36.0;21.0;130;7.1;Good
3083;3084;24.0;3.0;UK;;;2651;18.0;3.0;0;;381.0;102.0;44.0;592;7.9;Good
2144;2145;120.0;1.0;USA;21000000.0;16284360.0;15079;79.0;131.0;1000;0.0;1000.0;901.0;886.0;6212;6.1;Good
3399;3400;111.0;1.0;France;8000000.0;3076425.0;23660;162.0;128.0;0;341.0;963.0;678.0;569.0;3543;7.1;Good
4165;4166;95.0;0.0;Netherlands;2650000.0;;1470;5.0;19.0;121;53.0;20.0;3.0;2.0;25;7.0;Good
4222;4223;108.0;2.0;USA;;;6025;28.0;48.0;0;14.0;2000.0;1000.0;826.0;4385;5.8;Fair
4420;4421;107.0;0.0;USA;;402820.0;10896;57.0;88.0;415;234.0;947.0;530.0;442.0;2747;6.9;Good
1994;1995;104.0;0.0;USA;25000000.0;4064333.0;24790;173.0;60.0;0;54.0;6000.0;923.0;919.0;9662;5.2;Fair
1368;1369;150.0;7.0;USA;37000000.0;92173235.0;280228;420.0;378.0;29000;0.0;10000.0;4000.0;206.0;14296;7.6;Good
4521;4522;110.0;1.0;Canada;1100000.0;56129.0;6555;82.0;97.0;0;22.0;434.0;95.0;48.0;645;6.1;Good
4300;4301;85.0;1.0;USA;3800000.0;100669.0;2522;11.0;45.0;407;0.0;22000.0;12000.0;966.0;36885;5.8;Fair
2297;2298;108.0;3.0;USA;20000000.0;8054280.0;6838;117.0;76.0;924;54.0;786.0;567.0;463.0;2730;6.3;Good
1476;1477;125.0;2.0;UK;35000000.0;18306166.0;28130;215.0;105.0;0;159.0;3000.0;61.0;39.0;3142;6.5;Good
885;886;119.0;4.0;USA;50000000.0;51178893.0;24285;110.0;277.0;10000;33.0;3000.0;2000.0;518.0;6089;6.4;Good
3090;3091;121.0;0.0;USA;10000000.0;80150343.0;142115;614.0;210.0;0;163.0;723.0;651.0;482.0;3189;6.2;Good
4047;4048;108.0;0.0;Canada;3200000.0;;9356;47.0;188.0;0;43.0;691.0;480.0;463.0;1962;5.7;Fair
2536;2537;108.0;2.0;USA;16500000.0;11702090.0;37700;50.0;72.0;0;18.0;714.0;701.0;433.0;2785;6.3;Good
1760;1761;115.0;0.0;Japan;30000000.0;;8227;28.0;62.0;0;21.0;173.0;59.0;47.0;386;6.5;Good
768;769;101.0;0.0;USA;60000000.0;43060566.0;107859;569.0;138.0;0;38.0;23000.0;18000.0;11000.0;53024;6.2;Good
1029;1030;88.0;5.0;USA;50000000.0;6471394.0;15880;93.0;75.0;288;5.0;11000.0;387.0;338.0;11972;4.9;Fair
3325;3326;122.0;12.0;Australia;9000000.0;;5741;39.0;17.0;0;8.0;174.0;109.0;59.0;498;7.1;Good
1549;1550;89.0;8.0;USA;35000000.0;21784432.0;37493;108.0;133.0;0;16.0;49000.0;22000.0;2000.0;74181;5.6;Fair
1695;1696;96.0;2.0;USA;30000000.0;14208384.0;11520;105.0;73.0;625;0.0;372.0;206.0;130.0;977;5.6;Fair
4547;4548;96.0;0.0;USA;;23808111.0;67654;504.0;372.0;0;49.0;861.0;68.0;;929;7.5;Good
2706;2707;94.0;4.0;USA;15000000.0;8735529.0;8055;89.0;50.0;816;9.0;11000.0;897.0;612.0;13524;5.5;Fair
1145;1146;110.0;2.0;USA;40000000.0;5773519.0;28618;91.0;159.0;11000;118.0;11000.0;1000.0;287.0;12876;6.0;Fair
2056;2057;97.0;3.0;USA;23000000.0;27338033.0;19709;167.0;92.0;0;956.0;20000.0;551.0;99.0;20798;6.1;Good
671;672;118.0;6.0;USA;65000000.0;85911262.0;24735;213.0;176.0;16000;87.0;2000.0;1000.0;929.0;4796;5.2;Fair
3900;3901;106.0;1.0;USA;3500000.0;20803237.0;110616;291.0;323.0;16000;450.0;14000.0;3000.0;712.0;18645;7.1;Good
3088;3089;126.0;2.0;USA;10000000.0;138339411.0;604904;682.0;161.0;31000;835.0;49000.0;13000.0;893.0;63710;8.3;Excellent
1099;1100;95.0;1.0;USA;45000000.0;52580895.0;30255;118.0;94.0;743;58.0;14000.0;8000.0;3000.0;27351;5.6;Fair
898;899;121.0;0.0;USA;54000000.0;5660084.0;41620;418.0;131.0;2000;102.0;117.0;62.0;43.0;286;2.4;Bad
3629;3630;144.0;1.0;USA;6244087.0;;63192;287.0;147.0;0;541.0;682.0;288.0;242.0;2379;8.0;Good
4001;4002;94.0;1.0;USA;;;4790;52.0;33.0;804;47.0;430.0;209.0;108.0;836;4.8;Fair
2605;2606;122.0;0.0;USA;15000000.0;130058047.0;822500;2715.0;176.0;22000;0.0;18000.0;828.0;158.0;19078;8.4;Excellent
1008;1009;119.0;8.0;USA;50000000.0;24006726.0;139535;632.0;259.0;0;0.0;13000.0;1000.0;639.0;15757;7.3;Good
3786;3787;91.0;0.0;USA;7000000.0;1040879.0;54478;184.0;83.0;0;0.0;387.0;96.0;65.0;648;7.1;Good
719;720;99.0;2.0;USA;70000000.0;101217900.0;91093;353.0;120.0;0;59.0;770.0;263.0;145.0;1195;7.0;Good
3442;3443;105.0;1.0;USA;7500000.0;10460089.0;34098;214.0;127.0;1000;248.0;673.0;466.0;147.0;1442;7.2;Good
2903;2904;101.0;2.0;USA;;;3256;44.0;7.0;337;19.0;490.0;185.0;135.0;1166;7.8;Good
2916;2917;130.0;0.0;USA;8000000.0;260000000.0;412454;962.0;385.0;21000;14000.0;813.0;559.0;366.0;2047;8.0;Good
1822;1823;106.0;0.0;USA;27000000.0;7486906.0;17436;71.0;118.0;0;43.0;1000.0;506.0;460.0;2495;6.8;Good
587;588;153.0;1.0;USA;75000000.0;120523073.0;885175;1527.0;486.0;42000;16000.0;13000.0;11000.0;11000.0;36741;8.3;Excellent
937;938;116.0;2.0;USA;50000000.0;105807520.0;156717;357.0;140.0;0;80.0;11000.0;1000.0;651.0;14087;6.4;Good
2284;2285;103.0;1.0;UK;20000000.0;11034436.0;13505;180.0;137.0;0;350.0;5000.0;378.0;99.0;5637;7.1;Good
4207;4208;96.0;0.0;USA;2500000.0;322157.0;61787;203.0;238.0;19000;571.0;2000.0;973.0;370.0;4590;6.8;Good
4861;4862;75.0;0.0;USA;250000.0;203134.0;1428;21.0;19.0;178;45.0;5.0;2.0;0.0;7;7.0;Good
1689;1690;126.0;4.0;USA;35000000.0;18324242.0;32815;214.0;155.0;0;51.0;10000.0;9000.0;874.0;20563;7.3;Good
661;662;95.0;3.0;USA;65000000.0;100448498.0;272789;285.0;307.0;25000;480.0;21000.0;561.0;490.0;23018;6.6;Good
230;231;117.0;0.0;USA;100000000.0;58607007.0;182899;630.0;492.0;60000;294.0;10000.0;2000.0;1000.0;14161;6.2;Good
4541;4542;99.0;0.0;Japan;1000000000.0;10037390.0;5442;140.0;107.0;339;2.0;43.0;3.0;3.0;53;6.0;Fair
3085;3086;111.0;0.0;USA;11000000.0;1066555.0;2618;111.0;43.0;411;58.0;482.0;362.0;258.0;1526;5.8;Fair
1030;1031;87.0;0.0;USA;50000000.0;6291602.0;8070;91.0;82.0;255;0.0;2000.0;602.0;591.0;3954;5.6;Fair
2588;2589;92.0;2.0;USA;16000000.0;2964.0;7444;42.0;54.0;0;143.0;1000.0;945.0;613.0;3086;5.1;Fair
725;726;83.0;0.0;USA;105000000.0;90646554.0;124641;289.0;131.0;0;35.0;13000.0;11000.0;754.0;25788;6.6;Good
4494;4495;113.0;2.0;USA;1200000.0;2859955.0;2417;32.0;10.0;0;29.0;890.0;848.0;449.0;2681;6.0;Fair
3303;3304;91.0;4.0;USA;9000000.0;;7767;56.0;41.0;0;12.0;1000.0;300.0;297.0;1991;5.7;Fair
3768;3769;90.0;0.0;USA;;4328294.0;2719;41.0;43.0;249;7.0;2000.0;847.0;701.0;5900;5.4;Fair
2121;2122;92.0;1.0;UK;22000000.0;2963012.0;48873;105.0;149.0;11000;17.0;14000.0;257.0;231.0;14617;6.3;Good
4418;4419;99.0;0.0;France;1500000.0;418953.0;17322;93.0;37.0;853;675.0;902.0;424.0;164.0;1582;6.5;Good
2502;2503;98.0;1.0;USA;17000000.0;22734486.0;11815;117.0;75.0;320;39.0;593.0;517.0;428.0;2713;5.6;Fair
2728;2729;98.0;0.0;USA;15000000.0;1953732.0;4996;62.0;21.0;843;70.0;876.0;324.0;90.0;1351;5.3;Fair
3820;3821;148.0;0.0;USA;890000.0;24475416.0;72443;309.0;104.0;0;0.0;3000.0;324.0;263.0;3967;8.0;Good
